sk_id,cs_id,hu_id
11744,2585,8636
11055,2586,3511
11745,2587,8637
11746,2588,8638
11747,2589,4344
11748,2590,8639
9644,2591,8640
11749,2592,8641
11750,2593,8642
11751,2594,8643
17737,17572,63160
25028,19780,72797
11752,2595,8087
11753,2596,3553
11754,2597,8086
11755,2598,8078
10434,2599,8077
11756,2600,8075
11757,2601,3541
11758,2602,8265
9699,2603,3615
11759,2604,8266
17738,17574,63159
25027,19779,72798
11760,2605,4405
11761,2606,8272
11762,2607,8271
11763,2608,3646
11764,2609,8269
11765,2610,3558
10818,2611,4392
11766,2612,8267
11767,2613,8268
11768,2614,3583
17602,9093,43658
348662,330619,89732
25162,19948,42197
10260,2633,5726
12774,2660,4915
10117,2684,2452
8067,1287,5161
5021,2867,3881
169099,518486,1841759
3579,2892,4074
8868,2766,4918
10389,1313,4063
65373,142069,75465
10435,2812,5978
9092,2389,5275
14012,2713,4442
7553,2740,4466
12389,1330,3908
17739,17573,63158
25026,19778,72800
11769,2615,8413
11603,2616,8414
11605,2901,8415
11606,2902,4403
11607,2903,3597
11608,2904,3596
11609,2905,3593
11610,2906,3616
11611,2907,3617
11612,2908,4038
17740,17575,63157
25025,19777,72801
11613,2909,5151
11614,2910,6917
11616,2911,4441
11615,2912,3559
11623,2913,6918
11617,2914,4449
11619,2915,6919
3203,2916,4407
11620,2917,4417
11621,2918,6920
17741,17576,63156
25024,19776,72802
11624,2919,3634
11625,2920,3652
11626,2921,3670
3164,2922,4419
11627,2923,8022
11628,2924,8044
10231,2925,8045
11629,2926,8046
11630,2927,8047
11631,2928,3636
17742,17578,63155
25023,19775,72803
10997,2929,3642
11632,2930,6878
4764,2931,3698
11633,2932,6879
11634,2933,6880
10312,2934,6881
11635,2935,6882
11637,2936,8255
11636,2937,8256
11638,2938,4416
17743,17577,63154
25022,19774,72804
11639,2939,3938
11640,2940,6885
10831,2941,3651
3685,3045,4472
11641,3046,6889
11642,3061,6744
10828,3062,6894
11643,3063,6895
11644,3064,3644
11645,3065,6896
17744,17579,63153
25021,19773,72805
10819,3066,6899
11646,3067,8257
11647,3068,8258
11648,3069,8259
11649,3070,8260
8869,3071,4043
11650,3072,7921
10313,3073,3655
11651,3074,3657
11652,3075,8261
17745,17580,63144
25020,19772,72806
11653,3076,3658
11654,3077,3669
3166,3078,3673
11655,3079,3840
11656,3080,3866
11657,3081,8262
11658,3082,4007
8875,3083,3661
10384,3084,3991
11659,3085,8263
17746,17581,63143
25019,19771,72807
11660,3086,4051
11661,3087,4049
11662,3088,3719
11663,3089,3721
10998,3090,3695
11664,3091,3722
11665,7498,3718
3205,9772,3723
11666,9773,3703
9700,7557,8264
17747,17582,63142
25018,19765,72808
11667,7477,4039
11668,9774,8588
11669,9768,8589
11671,9775,8590
11670,7222,8591
8470,8387,8592
11672,9776,7923
11673,9777,4066
11674,7482,3749
11675,7509,8568
17748,17589,63141
25017,19764,72809
11676,8958,3700
11677,7544,3910
11678,9771,8196
4464,7227,3909
10402,7226,8096
11679,8155,4473
11680,9778,4493
11681,9779,3935
11682,9780,8197
11683,9781,3747
2733,405596,1017663
17603,9097,45521
25161,19947,42199
3175,1438,5727
9952,2661,3594
14015,2685,2459
4823,1288,5164
9636,2868,370
169102,518828,1841838
11305,2893,3518
5101,2767,4919
10388,1312,4021
65375,142080,75466
9837,2813,5084
3194,2388,4300
12565,2714,3538
3224,2741,3588
11117,2840,5849
17749,17590,63140
25016,19763,72813
8867,8952,7064
9681,9889,8404
11144,9890,8405
11145,9891,3751
11146,9892,3852
8872,9893,3744
